chapter,manpower,ammo,rations,parts,minutes
0-1,0,145,145,0,50
0-2,550,0,0,350,180
0-3,900,900,900,250,720
0-4,0,1200,800,750,1440
1-1,10,30,15,0,15
1-2,0,40,60,0,30
1-3,30,0,30,10,60
1-4,160,160,0,0,120
2-1,100,0,0,30,40
2-2,60,200,80,0,90
2-3,10,10,10,230,240
2-4,0,250,600,60,360
3-1,50,0,75,0,20
3-2,0,120,70,30,45
3-3,0,300,0,0,90
3-4,0,0,300,300,300
4-1,0,185,185,0,60
4-2,0,0,0,210,120
4-3,800,550,0,0,360
4-4,400,400,400,150,480
5-1,0,0,100,45,30
5-2,0,600,300,0,150
5-3,800,400,400,0,240
5-4,100,0,0,700,420
6-1,300,300,0,100,120
6-2,0,200,550,100,180
6-3,0,0,200,500,300
6-4,800,800,800,0,720
7-1,650,0,650,0,150
7-2,0,650,0,300,240
7-3,900,600,600,0,330
7-4,250,250,250,600,480
8-1,150,150,150,0,60
8-2,0,0,0,450,180
8-3,400,800,800,0,240
8-4,1500,400,400,100,540
9-1,0,0,100,50,30
9-2,180,0,180,100,90
9-3,750,750,0,0,270
9-4,500,900,900,0,420
10-1,140,200,0,0,40
10-2,0,240,180,0,100
10-3,0,480,480,300,320
10-4,660,660,660,330,600
11-1,350,1050,0,0,240
11-2,360,540,540,0,240
11-3,0,750,1500,250,480
11-4,0,1650,0,900,600
12-1,0,220,220,0,60
12-2,360,0,0,120,90
12-3,800,1200,1200,0,540
12-4,1800,0,1800,0,720
